ID,Code,,,,,,,,,,,,,
105," {""8"":""হয় ""}",,,,,,,,,,,,,
1990," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1991," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
108," {""8"":""নহয়""}",,,,,,,,,,,,,
107," {""8"":""হয় ""}",,,,,,,,,,,,,
1994," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1863," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
110," {""8"":""নহয়""}",,,,,,,,,,,,,
109," {""8"":""হয় ""}",,,,,,,,,,,,,
1996," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1997," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
112," {""8"":""নহয়""}",,,,,,,,,,,,,
111," {""8"":""হয় ""}",,,,,,,,,,,,,
1999," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
2001," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
114," {""8"":""নহয়""}",,,,,,,,,,,,,
2004," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
2005," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
116," {""8"":""নহয়""}",,,,,,,,,,,,,
115," {""8"":""হয় ""}",,,,,,,,,,,,,
2007," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1865," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
118," {""8"":""নহয়""}",,,,,,,,,,,,,
117," {""8"":""হয় ""}",,,,,,,,,,,,,
2008," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
2010," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
1571," {""8"":""নহয়""}",,,,,,,,,,,,,
1570," {""8"":""হয়""}",,,,,,,,,,,,,
120," {""8"":""নহয়""}",,,,,,,,,,,,,
119," {""8"":""হয়""}",,,,,,,,,,,,,
122," {""8"":""নহয়""}",,,,,,,,,,,,,
121," {""8"":""হয়""}",,,,,,,,,,,,,
2400," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
124," {""8"":""নহয়""}",,,,,,,,,,,,,
123," {""8"":""হয়""}",,,,,,,,,,,,,
1922," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1924," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1550," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
126," {""8"":""নহয়""}",,,,,,,,,,,,,
125," {""8"":""হয়""}",,,,,,,,,,,,,
128," {""8"":""নহয়""}",,,,,,,,,,,,,
127," {""8"":""হয়""}",,,,,,,,,,,,,
1928," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1929," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1927," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
129," {""8"":""নহয়""}",,,,,,,,,,,,,
130," {""8"":""হয়""}",,,,,,,,,,,,,
131," {""8"":""নহয়""}",,,,,,,,,,,,,
133," {""8"":""নহয়""}",,,,,,,,,,,,,
132," {""8"":""হয়""}",,,,,,,,,,,,,
134," {""8"":""হয়""}",,,,,,,,,,,,,
135," {""8"":""নহয়""}",,,,,,,,,,,,,
137," {""8"":""নহয়""}",,,,,,,,,,,,,
136," {""8"":""হয়""}",,,,,,,,,,,,,
139," {""8"":""নহয়""}",,,,,,,,,,,,,
138," {""8"":""হয়""}",,,,,,,,,,,,,
1935," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1934," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1933," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
141," {""8"":""নহয়""}",,,,,,,,,,,,,
140," {""8"":""হয়""}",,,,,,,,,,,,,
143," {""8"":""নহয়""}",,,,,,,,,,,,,
1551," {""8"":""নহয়""}",,,,,,,,,,,,,
145," {""8"":""নহয়""}",,,,,,,,,,,,,
1552," {""8"":""নহয়""}",,,,,,,,,,,,,
147," {""8"":""নহয়""}",,,,,,,,,,,,,
1553," {""8"":""নহয়""}",,,,,,,,,,,,,
149," {""8"":""নহয়""}",,,,,,,,,,,,,
1554," {""8"":""নহয়""}",,,,,,,,,,,,,
153," {""8"":""নহয়""}",,,,,,,,,,,,,
1556," {""8"":""নহয়""}",,,,,,,,,,,,,
151," {""8"":""নহয়""}",,,,,,,,,,,,,
1555," {""8"":""নহয়""}",,,,,,,,,,,,,
1682," {""8"":""নহয়""}",,,,,,,,,,,,,
1681," {""8"":""হয়""}",,,,,,,,,,,,,
1462," {""8"":""নহয়""}",,,,,,,,,,,,,
1463," {""8"":""হয়""}",,,,,,,,,,,,,
155," {""8"":""নহয়""}",,,,,,,,,,,,,
154," {""8"":""নহয়""}",,,,,,,,,,,,,
1557," {""8"":""হয়""}",,,,,,,,,,,,,
457," {""8"":""অশিক্ষিত""}",,,,,,,,,,,,,
458," {""8"":""শ্রেণী ১""}",,,,,,,,,,,,,
459," {""8"":""শ্রেণী ২""}",,,,,,,,,,,,,
460," {""8"":""শ্রেণী ৩""}",,,,,,,,,,,,,
461," {""8"":""শ্রেণী ৪""}",,,,,,,,,,,,,
462," {""8"":""শ্রেণী ৫""}",,,,,,,,,,,,,
463," {""8"":""শ্রেণী ৬""}",,,,,,,,,,,,,
464," {""8"":""শ্রেণী ৭""}",,,,,,,,,,,,,
465," {""8"":""শ্রেণী ৮""}",,,,,,,,,,,,,
466," {""8"":""শ্রেণী ৯""}",,,,,,,,,,,,,
467," {""8"":""শ্রেণী ১০""}",,,,,,,,,,,,,
468," {""8"":""শ্রেণী ১""}",,,,,,,,,,,,,
469," {""8"":""শ্রেণী ১২""}",,,,,,,,,,,,,
470," {""8"":""স্নাতক""}",,,,,,,,,,,,,
471," {""8"":""স্নাতকোত্তৰ""}",,,,,,,,,,,,,
472," {""8"":""কাৰিকৰী/ব্যবহাৰিক শিক্ষা""}",,,,,,,,,,,,,
1683," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1684," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
176," {""8"":""নিবনুৱা""}",,,,,,,,,,,,,
177," {""8"":""কৃষি শ্রমিক""}",,,,,,,,,,,,,
473," {""8"":""ঋতুকালিন শ্ৰ্মিক ""}",,,,,,,,,,,,,
474," {""8"":""খেতি/গো পালন/ মৎস্য পালন/ এনে ধৰণৰ কাম ""}",,,,,,,,,,,,,
475," {""8"":""দৰ্মহা ভোগী ""}",,,,,,,,,,,,,
476," {""8"":""দৰ্মহা ভোগী ""}",,,,,,,,,,,,,
477," {""8"":""শিল্পী""}",,,,,,,,,,,,,
478," {""8"":""ঘৰুৱা কাম""}",,,,,,,,,,,,,
479," {""8"":""অন্যান্য""}",,,,,,,,,,,,,
1685," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1686," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
480," {""8"":""অশিক্ষিত""}",,,,,,,,,,,,,
481," {""8"":""শ্রেণী ১""}",,,,,,,,,,,,,
482," {""8"":""শ্রেণী ২""}",,,,,,,,,,,,,
483," {""8"":""শ্রেণী ৩""}",,,,,,,,,,,,,
484," {""8"":""শ্রেণী ৪""}",,,,,,,,,,,,,
485," {""8"":""শ্রেণী ৫""}",,,,,,,,,,,,,
486," {""8"":""শ্রেণী ৬""}",,,,,,,,,,,,,
487," {""8"":""শ্রেণী ৭""}",,,,,,,,,,,,,
488," {""8"":""শ্রেণী ৮""}",,,,,,,,,,,,,
489," {""8"":""শ্রেণী ৯""}",,,,,,,,,,,,,
490," {""8"":""শ্রেণী ১০""}",,,,,,,,,,,,,
491," {""8"":""শ্রেণী ১""}",,,,,,,,,,,,,
492," {""8"":""শ্রেণী ১২""}",,,,,,,,,,,,,
493," {""8"":""স্নাতক""}",,,,,,,,,,,,,
494," {""8"":""স্নাতকোত্তৰ""}",,,,,,,,,,,,,
495," {""8"":""কাৰিকৰী/ব্যবহাৰিক শিক্ষা""}",,,,,,,,,,,,,
1687," {""8"":""একো নাজানো।""}",,,,,,,,,,,,,
1688," {""8"":""প্রযোজ্য নহয়""}",,,,,,,,,,,,,
181," {""8"":""নিবনুৱা""}",,,,,,,,,,,,,
182," {""8"":""কৃষি শ্রমিক""}",,,,,,,,,,,,,
183," {""8"":""ঋতুকালিন শ্ৰ্মিক ""}",,,,,,,,,,,,,
496," {""8"":""খেতি/গো পালন/ মৎস্য পালন/ এনে ধৰণৰ কাম ""}",,,,,,,,,,,,,
497," {""8"":""দৰ্মহা ভোগী ""}",,,,,,,,,,,,,
498," {""8"":""দৰ্মহা ভোগী ""}",,,,,,,,,,,,,
499," {""8"":""শিল্পী""}",,,,,,,,,,,,,
500," {""8"":""ঘৰুৱা কাম""}",,,,,,,,,,,,,
