
Question,Question Id,Question Type,choice Id,Choice
VHSNC operational,395,Select One Choice,867,"Yes, irregular"
VHSNC operational,395,Select One Choice,868,"Yes, regular"

VCPC existing,396,Radio List,869,No
VCPC existing,396,Radio List,870,Yes

VCPC Operational,397,Select One Choice,871,No
VCPC Operational,397,Select One Choice,872,"Yes, irregular"
VCPC Operational,397,Select One Choice,873,"Yes, regular"

Electricity,400,Radio List,876,No
Electricity,400,Radio List,877,Yes

Road,401,Radio List,878,No
Road,401,Radio List,879,Yes

Public Transport,402,Radio List,880,No
Public Transport,402,Radio List,881,Yes

Water Supply,403,Radio List,882,No
Water Supply,403,Radio List,883,Yes

