ID,Updated on (date),Region,State,Name of Initiative,Nature,Ongoing Grant Cycle,Budget as per Sanctioned AER,Registration Status - FCRA / Non-FC,CRY Location,CRY Support Since,Available for booking,CRY Theme: Education (Y/N),CRY Theme: Protection (Y/N),CRY Theme: Health (Y/N),CRY Theme: Nutrition (Y/N),CRY Theme: Participation (Y/N),CRY Theme: Others (Y/N),DS Remarks
128,Jan-18,South,Tamil Nadu,Rwds,Implementing,Aug-13 - Jan-18,No Grant,Yes,Tamil Nadu,Aug-13 - Jan-18,Not-Available,Y,Y,N,N,N,N,N/A
127,Jan-18,South,Andhra Pradesh,Pragathi Siri Seva Samstha,Implementing,Jan-18 - Jan-18,No Grant,No,Andhra Pradesh,Jan-18 - Jan-18,Not-Available,N,N,Y,N,N,N,Agency area
126,Jan-18,South,Karnataka,Gofcms,Implementing,Jan-18 - Jan-18,No Grant,Yes,Karnataka,Jan-18 - Jan-18,Not-Available,Y,N,N,N,N,N,Nothing much to Say
125,Jan-18,South,Tamil Nadu,Leelavathi,Fellowship,Nov-15 - Jan-18,No Grant,Yes,Tamil Nadu,Nov-15 - Jan-18,Not-Available,Y,Y,N,N,N,N,N/A
124,Jan-18,South,Karnataka,Karn,Implementing,Jan-18 - Apr-18,No Grant,Yes,Karnataka,Jan-18 - Apr-18,Not-Available,Y,N,Y,N,N,N,N/A
123,Jan-18,South,Telangana,Ravi Raj,Alliances,Jan-18 - Mar-18,No Grant,Yes,"Manipur,Assam",Jan-18 - Mar-18,Not-Available,Y,N,Y,Y,Y,Y,N/A
122,Jan-18,East,West Bengal,Jan Samskriti,Implementing,Jan-11 - May-19,"3,60,000.00",Yes,West Bengal,Jan-11 - May-19,Available,Y,N,Y,N,N,N,N/A
121,Dec-17,West,Mumbai,Halwa,Implementing,Jan-09 - Dec-17,"77,500.00",Yes,Mumbai,Jan-09 - Dec-17,Available,Y,Y,N,N,N,N,N/A
120,Dec-17,West,Mumbai,Sparsh,Implementing,Jan-09 - Dec-17,No Grant,N/A,N/A,Jan-09 - Dec-17,Not-Available,N,N,N,N,N,N,N/A
119,Dec-17,West,Chhattisgarh,Gmsss,Implementing,Jul-10 - Dec-17,No Grant,No,Chhattisgarh,Jul-10 - Dec-17,Not-Available,Y,N,Y,N,N,N,N/A
118,Dec-17,West,Gujarat,Gss,Implementing,Jan-05 - Feb-18,No Grant,Yes,Gujarat,Jan-05 - Feb-18,Not-Available,N,N,Y,N,N,N,N/A
117,Dec-17,National,National(HO),Haq,Resource Orgs,Dec-17 - Jan-18,No Grant,N/A,N/A,Dec-17 - Jan-18,Not-Available,N,N,N,N,N,N,N/A
116,Dec-17,North,Delhi,Navsrishti Delhi,Implementing,Apr-00 - Dec-17,No Grant,Yes,Maharashtra,Apr-00 - Dec-17,Not-Available,Y,Y,N,Y,N,N,N/A
115,Dec-17,North,Haryana,Pap Need,Implementing,Oct-12 - Jan-18,"35,000.00",Yes,Haryana,Oct-12 - Jan-18,Available,Y,Y,N,N,N,N,N/A
114,Dec-17,South,Andhra Pradesh,Demo Test,Fellowship,Nov-16 - Dec-17,No Grant,Yes,Telangana,Nov-16 - Dec-17,Not-Available,Y,N,N,N,N,N,N/A
